,symbol_id,0
weight,0,0.32981103976530207
weight,1,0.8182614984073722
weight,2,0.21874334108553947
weight,3,0.2256525907518796
weight,7,0.4021836606162006
weight,8,0.5528079383884293
weight,9,0.2959219968256846
weight,10,0.14883287167543338
weight,11,0.3472233657995363
weight,12,0.4256691873118619
weight,13,0.6723371441417336
weight,14,0.08625735638299603
weight,15,0.08508476710357132
weight,16,0.2783265245311518
weight,17,0.34155352567619013
weight,19,0.8988096474547483
weight,30,0.22390217035376597
weight,33,0.2633301991877893
weight,34,0.1459500767792917
weight,38,0.45811779016761267
feature_00,0,1.0672920233337306
feature_00,1,1.0553194387733786
feature_00,2,1.0577458831981292
feature_00,3,1.055293698879465
feature_00,7,1.0582900333240042
feature_00,8,1.053684198536065
feature_00,9,1.0462675891288278
feature_00,10,1.0595335193411626
feature_00,11,1.056215814062989
feature_00,12,1.054462618683958
feature_00,13,1.0466631638930641
feature_00,14,1.0597888337253503
feature_00,15,1.0526209516239737
feature_00,16,1.0488191340009192
feature_00,17,1.0600391949478527
feature_00,19,1.0596624227889433
feature_00,30,1.0583278207559532
feature_00,33,1.0386148753656892
feature_00,34,1.060491788827585
feature_00,38,1.0450841457538766
feature_01,0,1.1206143118160041
feature_01,1,1.1140113427233653
feature_01,2,1.119996322534086
feature_01,3,1.1086296604465566
feature_01,7,1.1144743518437072
feature_01,8,1.1339470522353383
feature_01,9,1.1121187285874916
feature_01,10,1.1167545210381522
feature_01,11,1.1246379094877794
feature_01,12,1.1188769558859966
feature_01,13,1.1151300155711072
feature_01,14,1.1196825969305229
feature_01,15,1.1210126145297563
feature_01,16,1.1110970652882841
feature_01,17,1.1181695859148124
feature_01,19,1.1201311041285282
feature_01,30,1.123164815485796
feature_01,33,1.1085194605694406
feature_01,34,1.1185284940553046
feature_01,38,1.1255873115197659
feature_02,0,1.057908149047194
feature_02,1,1.0487384179508672
feature_02,2,1.0511017901518096
feature_02,3,1.0491677781755184
feature_02,7,1.051752920694086
feature_02,8,1.0472759147834816
feature_02,9,1.0384673459867702
feature_02,10,1.053180942275228
feature_02,11,1.0505318594362667
feature_02,12,1.0476531548502324
feature_02,13,1.0411696406672921
feature_02,14,1.054303394371261
feature_02,15,1.0477421276801335
feature_02,16,1.0410485427271996
feature_02,17,1.054402760712444
feature_02,19,1.0530101869704254
feature_02,30,1.0531773246849323
feature_02,33,1.0325973244069775
feature_02,34,1.0556254713384736
feature_02,38,1.0392904725428178
feature_03,0,1.059652695991665
feature_03,1,1.0484380590798148
feature_03,2,1.0512890349885409
feature_03,3,1.0489729829891548
feature_03,7,1.0515500053724816
feature_03,8,1.0472052332355755
feature_03,9,1.039481745565678
feature_03,10,1.0540671325750546
feature_03,11,1.0502630718586659
feature_03,12,1.0481889655995171
feature_03,13,1.0402575243434145
feature_03,14,1.0543215992037414
feature_03,15,1.0477087018479712
feature_03,16,1.0402963271318275
feature_03,17,1.0531403693917991
feature_03,19,1.053443764798185
feature_03,30,1.0525096215253638
feature_03,33,1.0329991766664735
feature_03,34,1.0547694644691663
feature_03,38,1.0403990070824227
feature_04,0,1.0447899252527506
feature_04,1,1.0351909871182028
feature_04,2,1.0405894097493027
feature_04,3,1.0310019765316853
feature_04,7,1.0352932857373471
feature_04,8,1.0528157082592762
feature_04,9,1.0331489878997964
feature_04,10,1.0415008340698004
feature_04,11,1.0443706484350983
feature_04,12,1.0404844000275466
feature_04,13,1.0361009050199617
feature_04,14,1.0423991464220035
feature_04,15,1.0417420783814977
feature_04,16,1.0337880999549312
feature_04,17,1.041378156712989
feature_04,19,1.0423169143614004
feature_04,30,1.0432158164733174
feature_04,33,1.0323970137997582
feature_04,34,1.0407175456494988
feature_04,38,1.0461621436828084
feature_05,0,1.029958342685516
feature_05,1,1.0221076502319362
feature_05,2,1.2827838010917045
feature_05,3,0.6703573779796632
feature_05,7,0.8915314939536477
feature_05,8,1.100752532929
feature_05,9,0.9203691528981169
feature_05,10,1.4162199537795825
feature_05,11,1.2913249824136654
feature_05,12,1.0540801218202347
feature_05,13,0.691065064253869
feature_05,14,1.3487951313573303
feature_05,15,1.0341028420227656
feature_05,16,1.0490559718196057
feature_05,17,1.2112721341064838
feature_05,19,0.9175562063530683
feature_05,30,0.9452195341308527
feature_05,33,0.982284580597676
feature_05,34,1.3158992531376155
feature_05,38,1.0935004677917837
feature_06,0,1.100378564697916
feature_06,1,1.1038521709157243
feature_06,2,1.3826258839713939
feature_06,3,0.7482236084379027
feature_06,7,0.9620258276463716
feature_06,8,1.173471589049116
feature_06,9,1.001788287443605
feature_06,10,1.5438668460604095
feature_06,11,1.3853896385659858
feature_06,12,1.128064143329067
feature_06,13,0.7512797639703687
feature_06,14,1.4593335959268643
feature_06,15,1.1227109840275942
feature_06,16,1.1242128535027627
feature_06,17,1.2935022228771373
feature_06,19,1.0175843637421527
feature_06,30,1.0335057702136876
feature_06,33,1.0804066580132476
feature_06,34,1.4184084038348632
feature_06,38,1.180324610272076
feature_07,0,1.0893415453837112
feature_07,1,1.0865312753871288
feature_07,2,1.3688705496297426
feature_07,3,0.7372617505770427
feature_07,7,0.9516586651236886
feature_07,8,1.1667354814730058
feature_07,9,0.9842243992959795
feature_07,10,1.525543204318137
feature_07,11,1.363549336979988
feature_07,12,1.1163886380746983
feature_07,13,0.7411420997145753
feature_07,14,1.4457832724817763
feature_07,15,1.1137098510774786
feature_07,16,1.1128745220522498
feature_07,17,1.2794922781704594
feature_07,19,0.9988734576642145
feature_07,30,1.0227583321158464
feature_07,33,1.065494631582718
feature_07,34,1.4048222866802387
feature_07,38,1.1670081106756658
feature_08,0,0.9417730651309577
feature_08,1,0.9102776832923654
feature_08,2,1.1734149898238517
feature_08,3,0.5543535198302124
feature_08,7,0.7802263763308682
feature_08,8,1.0155843632257016
feature_08,9,0.8105746993631145
feature_08,10,1.1920858504627816
feature_08,11,1.1795759685556806
feature_08,12,0.9570735152186174
feature_08,13,0.6325378874184031
feature_08,14,1.2146616484646822
feature_08,15,0.8895659067059695
feature_08,16,0.9376125604284948
feature_08,17,1.0970570322439457
feature_08,19,0.7972179814048148
feature_08,30,0.82567331557479
feature_08,33,0.8369549488593953
feature_08,34,1.1463435022839947
feature_08,38,0.9766190939390655
feature_09,0,0.0
feature_09,1,0.0
feature_09,2,0.0
feature_09,3,0.0
feature_09,7,0.0
feature_09,8,0.0
feature_09,9,0.0
feature_09,10,0.0
feature_09,11,0.0
feature_09,12,0.0
feature_09,13,0.0
feature_09,14,0.0
feature_09,15,0.0
feature_09,16,0.0
feature_09,17,0.0
feature_09,19,0.0
feature_09,30,0.0
feature_09,33,0.0
feature_09,34,0.0
feature_09,38,0.0
feature_10,0,0.0
feature_10,1,0.0
feature_10,2,0.0
feature_10,3,0.0
feature_10,7,0.0
feature_10,8,0.0
feature_10,9,0.0
feature_10,10,0.0
feature_10,11,0.0
feature_10,12,0.0
feature_10,13,0.0
feature_10,14,0.0
feature_10,15,0.0
feature_10,16,0.0
feature_10,17,0.0
feature_10,19,0.0
feature_10,30,0.0
feature_10,33,0.0
feature_10,34,0.0
feature_10,38,0.0
feature_11,0,0.0
feature_11,1,0.0
feature_11,2,0.0
feature_11,3,0.0
feature_11,7,0.0
feature_11,8,0.0
feature_11,9,0.0
feature_11,10,0.0
feature_11,11,0.0
feature_11,12,0.0
feature_11,13,0.0
feature_11,14,0.0
feature_11,15,0.0
feature_11,16,0.0
feature_11,17,0.0
feature_11,19,0.0
feature_11,30,0.0
feature_11,33,0.0
feature_11,34,0.0
feature_11,38,0.0
feature_12,0,0.41860700402523765
feature_12,1,0.5878317129336419
feature_12,2,0.5485229954305204
feature_12,3,0.774540307859168
feature_12,7,0.6443002200130792
feature_12,8,1.1612356414401779
feature_12,9,1.630789623656889
feature_12,10,0.41467742237459304
feature_12,11,0.7540994670999925
feature_12,12,0.8448891795534136
feature_12,13,0.8366335641870933
feature_12,14,0.7858844196095762
feature_12,15,0.6152522572074213
feature_12,16,0.47421228755942124
feature_12,17,0.6260324127509465
feature_12,19,0.49613850940274534
feature_12,30,1.0351509425229812
feature_12,33,0.8592721374298739
feature_12,34,0.4410987431355282
feature_12,38,0.4817772736688646
feature_13,0,0.40032566515358387
feature_13,1,0.45185911297655124
feature_13,2,0.6760540696004205
feature_13,3,0.5602036138537715
feature_13,7,1.0791564028992697
feature_13,8,0.9449658196382507
feature_13,9,1.14037400899692
feature_13,10,0.41619646500892554
feature_13,11,0.717092472972471
feature_13,12,1.8258535216627552
feature_13,13,0.9103608612312067
feature_13,14,0.6148632495485435
feature_13,15,0.619390937148583
feature_13,16,0.4851941205353671
feature_13,17,0.4784111732276849
feature_13,19,0.38850750371148707
feature_13,30,0.8727956223953217
feature_13,33,0.8344979070003709
feature_13,34,0.39345500574599984
feature_13,38,0.4236191054148802
feature_14,0,0.41772612494810857
feature_14,1,0.5504082490340951
feature_14,2,0.5782709885995811
feature_14,3,0.7275789184188883
feature_14,7,0.7636837643701939
feature_14,8,1.0729008818059877
feature_14,9,1.5697358750281891
feature_14,10,0.4133994540591854
feature_14,11,0.7563314398484735
feature_14,12,1.1469374498416185
feature_14,13,0.8895120614006049
feature_14,14,0.729731135537233
feature_14,15,0.6159493115617222
feature_14,16,0.4777425601470142
feature_14,17,0.5951723886328067
feature_14,19,0.5039010364541809
feature_14,30,1.0086502389841518
feature_14,33,0.8898503382980595
feature_14,34,0.42232528180205064
feature_14,38,0.4812173822194402
feature_15,0,0.09804464688737127
feature_15,1,0.03358793771690442
feature_15,2,0.11973572017469356
feature_15,3,0.5673011019334327
feature_15,7,0.3537397109091374
feature_15,8,0.09750157024149211
feature_15,9,0.09448333228590183
feature_15,10,0.05676294077508372
feature_15,11,0.2140487676783368
feature_15,12,0.9804972800690774
feature_15,13,0.22658135376947022
feature_15,14,0.16082690980565043
feature_15,15,0.2884068742400191
feature_15,16,0.09184698725709081
feature_15,17,0.03580382017981748
feature_15,19,0.08316864044548836
feature_15,30,0.13834529042095445
feature_15,33,0.21492882918586603
feature_15,34,0.09600399370068385
feature_15,38,0.09360628128350079
feature_16,0,0.13107164484053177
feature_16,1,0.045417605762831825
feature_16,2,0.12051976374990765
feature_16,3,0.140681167399698
feature_16,7,0.7231298963575641
feature_16,8,0.14824286644776422
feature_16,9,0.16369355452784312
feature_16,10,0.10877079585754226
feature_16,11,0.287115979612256
feature_16,12,1.8096036410950065
feature_16,13,0.30733930430365036
feature_16,14,0.1681043681613919
feature_16,15,0.24344921160814456
feature_16,16,0.18151684894950867
feature_16,17,0.0475798425805743
feature_16,19,0.08529912633023638
feature_16,30,0.1810766532171294
feature_16,33,0.39464533990486544
feature_16,34,0.16700938673769086
feature_16,38,0.10506304252079625
feature_17,0,0.10269603111416625
feature_17,1,0.03635060271765224
feature_17,2,0.11783853743669831
feature_17,3,0.20922258121650683
feature_17,7,0.40746182287362515
feature_17,8,0.10388962711082758
feature_17,9,0.108489414081626
feature_17,10,0.06735634738496415
feature_17,11,0.18457276101309997
feature_17,12,1.0975567433775772
feature_17,13,0.23781580222435206
feature_17,14,0.1655301702725599
feature_17,15,0.2401237993943172
feature_17,16,0.1033565214795637
feature_17,17,0.03886026415186408
feature_17,19,0.10104638804199337
feature_17,30,0.13117743386382066
feature_17,33,0.24089736188833133
feature_17,34,0.1670355909437528
feature_17,38,0.10810927024192213
feature_18,0,1.0712810266994823
feature_18,1,0.9960947572043781
feature_18,2,1.1601042812464568
feature_18,3,1.0701704554472637
feature_18,7,0.9153477276286198
feature_18,8,0.8786905987553095
feature_18,9,0.9119730356490834
feature_18,10,1.1921882595171178
feature_18,11,0.9547192272740173
feature_18,12,0.9104058416081808
feature_18,13,0.932173066608256
feature_18,14,1.206546425717728
feature_18,15,1.1751934734778284
feature_18,16,1.005017939312395
feature_18,17,1.0730918879396105
feature_18,19,0.992701340478316
feature_18,30,1.0061720659419686
feature_18,33,0.9589553181550134
feature_18,34,1.2372113463385104
feature_18,38,1.1581214922191778
feature_19,0,1.045353795128066
feature_19,1,1.1532174286173718
feature_19,2,1.1613353970788363
feature_19,3,1.2217777986024505
feature_19,7,0.9651593230251679
feature_19,8,1.0742539319114828
feature_19,9,1.0669077182537627
feature_19,10,0.9873397719579642
feature_19,11,1.0469138824386424
feature_19,12,1.0512415301097369
feature_19,13,1.0854770932154854
feature_19,14,1.305803554576381
feature_19,15,1.1006789693609913
feature_19,16,1.0253263926788583
feature_19,17,1.1383748564461484
feature_19,19,1.1466925734840479
feature_19,30,1.0604649470726188
feature_19,33,1.0173164552549474
feature_19,34,1.1434678871265878
feature_19,38,1.1513709014539033
feature_20,0,0.3248809457004197
feature_20,1,0.3003999547828259
feature_20,2,0.17922011178216912
feature_20,3,0.32147376443841374
feature_20,7,0.29486889037988395
feature_20,8,0.25422003223103995
feature_20,9,0.3205008577268658
feature_20,10,0.1311594148592755
feature_20,11,0.18758273345482412
feature_20,12,0.6256901210673518
feature_20,13,0.5055862816598486
feature_20,14,0.3322761977708113
feature_20,15,0.3097705276266088
feature_20,16,0.32815983002593907
feature_20,17,0.18279306148820018
feature_20,19,0.310580773943826
feature_20,30,0.21075394691522634
feature_20,33,0.3893902046090721
feature_20,34,0.14616178200786942
feature_20,38,0.22933882228817698
feature_21,0,0.007015340015818659
feature_21,1,0.053264062487081425
feature_21,2,0.011948973938074816
feature_21,3,0.07964891263617303
feature_21,7,0.06535218733381906
feature_21,8,0.0834332860624517
feature_21,9,0.09045128910996089
feature_21,10,0.003784660773651954
feature_21,11,0.04551580221364105
feature_21,12,0.13222920531532295
feature_21,13,0.3079672696389441
feature_21,14,0.0037999396362288326
feature_21,15,0.004020725121169852
feature_21,16,0.009577805331420513
feature_21,17,0.00481793620098552
feature_21,19,0.05079200307339671
feature_21,30,0.05992360826353173
feature_21,33,0.0439255409135351
